2026-01-22 07:05:03,155 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
2026-01-22 07:05:03,180 | INFO | eligibility | Eligible LWS SOs since 12/26/2025: 200
2026-01-22 07:05:03,252 | INFO | app | [REMOVED] Skipping removed orders: [250666, 250506, 250504]
2026-01-22 07:05:03,322 | INFO | job_p4 | Existing Plant4 job found for SO 251207: 907822
2026-01-22 07:05:03,347 | ERROR | app | PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:05:03,381 | INFO | app | [FILM VALIDATION EMAIL] Duplicate suppressed for SO=251207 (sent_ts=2026-01-21T18:45:17) sig=3fe6ccf6f4243f41e8ea5963ac0724f88a2856f0
2026-01-22 07:05:03,381 | ERROR | app | Order 251207 FAILED at REQS_P4: PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:05:03,432 | INFO | app | [FAIL EMAIL] Skipping duplicate failure email for SO 251207 (same signature).
2026-01-22 07:05:04,047 | INFO | job_p4 | Existing Plant4 job found for SO 251044: 907736
2026-01-22 07:05:04,069 | INFO | app | [FILM VALIDATION ✅] so=251044 base=2300-ALP41-0015 expected=16P4-2300-ALP41-0015 printed_found=['16P4-2300-ALP41-0015']
2026-01-22 07:05:04,430 | INFO | job_p4 | Existing Plant4 job found for SO 251043: 907737
2026-01-22 07:05:04,451 | INFO | app | [FILM VALIDATION ✅] so=251043 base=2300-ALP41-0016 expected=16P4-2300-ALP41-0016 printed_found=['16P4-2300-ALP41-0016']
2026-01-22 07:15:02,692 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 07:15:02,699 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 07:15:02,700 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 07:15:03,134 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 07:15:03,190 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
2026-01-22 07:15:03,190 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
2026-01-22 07:15:03,212 | INFO | eligibility | Eligible LWS SOs since 12/26/2025: 200
2026-01-22 07:15:03,281 | INFO | app | [REMOVED] Skipping removed orders: [250666, 250506, 250504]
2026-01-22 07:15:03,354 | INFO | job_p4 | Existing Plant4 job found for SO 251207: 907822
2026-01-22 07:15:03,378 | ERROR | app | PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:15:03,399 | INFO | app | [FILM VALIDATION EMAIL] Duplicate suppressed for SO=251207 (sent_ts=2026-01-21T18:45:17) sig=3fe6ccf6f4243f41e8ea5963ac0724f88a2856f0
2026-01-22 07:15:03,399 | ERROR | app | Order 251207 FAILED at REQS_P4: PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:15:03,415 | INFO | app | [FAIL EMAIL] Skipping duplicate failure email for SO 251207 (same signature).
2026-01-22 07:15:03,883 | INFO | job_p4 | Existing Plant4 job found for SO 251044: 907736
2026-01-22 07:15:03,900 | INFO | app | [FILM VALIDATION ✅] so=251044 base=2300-ALP41-0015 expected=16P4-2300-ALP41-0015 printed_found=['16P4-2300-ALP41-0015']
2026-01-22 07:15:04,121 | INFO | job_p4 | Existing Plant4 job found for SO 251043: 907737
2026-01-22 07:15:04,135 | INFO | app | [FILM VALIDATION ✅] so=251043 base=2300-ALP41-0016 expected=16P4-2300-ALP41-0016 printed_found=['16P4-2300-ALP41-0016']
2026-01-22 07:25:02,623 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 07:25:02,627 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 07:25:02,628 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 07:25:03,033 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 07:25:03,075 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
2026-01-22 07:25:03,076 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
2026-01-22 07:25:03,097 | INFO | eligibility | Eligible LWS SOs since 12/26/2025: 200
2026-01-22 07:25:03,167 | INFO | app | [REMOVED] Skipping removed orders: [250666, 250506, 250504]
2026-01-22 07:25:03,232 | INFO | job_p4 | Existing Plant4 job found for SO 251207: 907822
2026-01-22 07:25:03,245 | ERROR | app | PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:25:03,259 | INFO | app | [FILM VALIDATION EMAIL] Duplicate suppressed for SO=251207 (sent_ts=2026-01-21T18:45:17) sig=3fe6ccf6f4243f41e8ea5963ac0724f88a2856f0
2026-01-22 07:25:03,259 | ERROR | app | Order 251207 FAILED at REQS_P4: PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:25:03,275 | INFO | app | [FAIL EMAIL] Skipping duplicate failure email for SO 251207 (same signature).
2026-01-22 07:25:03,600 | INFO | job_p4 | Existing Plant4 job found for SO 251044: 907736
2026-01-22 07:25:03,626 | INFO | app | [FILM VALIDATION ✅] so=251044 base=2300-ALP41-0015 expected=16P4-2300-ALP41-0015 printed_found=['16P4-2300-ALP41-0015']
2026-01-22 07:25:03,988 | INFO | job_p4 | Existing Plant4 job found for SO 251043: 907737
2026-01-22 07:25:04,010 | INFO | app | [FILM VALIDATION ✅] so=251043 base=2300-ALP41-0016 expected=16P4-2300-ALP41-0016 printed_found=['16P4-2300-ALP41-0016']
2026-01-22 07:35:02,640 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 07:35:02,645 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 07:35:02,645 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 07:35:03,384 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 07:35:03,442 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
2026-01-22 07:35:03,443 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
2026-01-22 07:35:03,468 | INFO | eligibility | Eligible LWS SOs since 12/26/2025: 200
